1,00:00.0,11599,CLOSED
2,00:00.0,256,PENDING_PAYMENT
3,00:00.0,12111,COMPLETE
4,00:00.0,8827,CLOSED
5,00:00.0,11318,COMPLETE
6,00:00.0,7130,COMPLETE
7,00:00.0,4530,COMPLETE
8,00:00.0,2911,PROCESSING
9,00:00.0,5657,PENDING_PAYMENT
10,00:00.0,5648,PENDING_PAYMENT
11,00:00.0,918,PAYMENT_REVIEW
12,00:00.0,1837,CLOSED
13,00:00.0,9149,PENDING_PAYMENT
14,00:00.0,9842,PROCESSING
15,00:00.0,2568,COMPLETE
16,00:00.0,7276,PENDING_PAYMENT
17,00:00.0,2667,COMPLETE
18,00:00.0,1205,CLOSED
19,00:00.0,9488,PENDING_PAYMENT
20,00:00.0,9198,PROCESSING
21,00:00.0,2711,PENDING
22,00:00.0,333,COMPLETE
23,00:00.0,4367,PENDING_PAYMENT
24,00:00.0,11441,CLOSED
25,00:00.0,9503,CLOSED
26,00:00.0,7562,COMPLETE
27,00:00.0,3241,PENDING_PAYMENT
28,00:00.0,656,COMPLETE
29,00:00.0,196,PROCESSING
30,00:00.0,10039,PENDING_PAYMENT
31,00:00.0,6983,PAYMENT_REVIEW
32,00:00.0,3960,COMPLETE
33,00:00.0,5793,PENDING_PAYMENT
34,00:00.0,4189,PROCESSING
35,00:00.0,4840,COMPLETE
36,00:00.0,5649,PENDING
37,00:00.0,5863,CLOSED
38,00:00.0,11586,PROCESSING
39,00:00.0,8214,PENDING
40,00:00.0,12092,PENDING_PAYMENT
41,00:00.0,8136,PENDING_PAYMENT
42,00:00.0,9776,PENDING
43,00:00.0,7776,PENDING_PAYMENT
44,00:00.0,10500,PENDING
45,00:00.0,2636,COMPLETE
46,00:00.0,1549,ON_HOLD
47,00:00.0,8487,PENDING_PAYMENT
48,00:00.0,12186,PROCESSING
49,00:00.0,1871,PENDING
50,00:00.0,5225,CANCELED
51,00:00.0,12271,CLOSED
52,00:00.0,5126,PENDING_PAYMENT
53,00:00.0,4701,PROCESSING
54,00:00.0,10628,PENDING_PAYMENT
55,00:00.0,2052,PENDING
56,00:00.0,10519,COMPLETE
57,00:00.0,7073,CLOSED
58,00:00.0,9213,PENDING_PAYMENT
59,00:00.0,11644,PENDING_PAYMENT
60,00:00.0,8365,PENDING_PAYMENT
61,00:00.0,4791,CLOSED
62,00:00.0,9111,CLOSED
63,00:00.0,1148,COMPLETE
64,00:00.0,5579,PENDING_PAYMENT
65,00:00.0,5903,COMPLETE
66,00:00.0,1792,ON_HOLD
67,00:00.0,1406,COMPLETE
68,00:00.0,4320,PENDING
69,00:00.0,2821,SUSPECTED_FRAUD
70,00:00.0,11809,PENDING_PAYMENT
71,00:00.0,8646,COMPLETE
72,00:00.0,4349,COMPLETE
73,00:00.0,8504,PENDING_PAYMENT
74,00:00.0,662,PENDING_PAYMENT
75,00:00.0,2505,PENDING_PAYMENT
76,00:00.0,6898,COMPLETE
77,00:00.0,7915,PENDING_PAYMENT
78,00:00.0,8619,PAYMENT_REVIEW
79,00:00.0,7327,PENDING_PAYMENT
80,00:00.0,3007,COMPLETE
81,00:00.0,674,PROCESSING
82,00:00.0,3566,PENDING_PAYMENT
83,00:00.0,1265,COMPLETE
84,00:00.0,6789,PROCESSING
85,00:00.0,1485,PENDING
86,00:00.0,6680,PENDING_PAYMENT
87,00:00.0,3065,CLOSED
88,00:00.0,3809,COMPLETE
89,00:00.0,824,ON_HOLD
90,00:00.0,9131,CLOSED
91,00:00.0,8912,COMPLETE
92,00:00.0,6932,COMPLETE
93,00:00.0,2256,PENDING_PAYMENT
94,00:00.0,11589,PROCESSING
95,00:00.0,9032,COMPLETE
96,00:00.0,8683,PENDING
97,00:00.0,10784,PENDING
98,00:00.0,5243,COMPLETE
99,00:00.0,11542,PENDING_PAYMENT
100,00:00.0,12131,PROCESSING
101,00:00.0,5116,CLOSED
102,00:00.0,8027,COMPLETE
103,00:00.0,12256,PROCESSING
104,00:00.0,7790,PENDING_PAYMENT
105,00:00.0,8220,COMPLETE
106,00:00.0,395,PROCESSING
107,00:00.0,1845,COMPLETE
108,00:00.0,12149,PROCESSING
109,00:00.0,9345,PENDING_PAYMENT
110,00:00.0,2746,COMPLETE
111,00:00.0,4271,PROCESSING
112,00:00.0,5375,CANCELED
113,00:00.0,10216,PENDING_PAYMENT
114,00:00.0,2091,COMPLETE
115,00:00.0,104,PROCESSING
116,00:00.0,8763,CLOSED
117,00:00.0,58,SUSPECTED_FRAUD
118,00:00.0,1737,COMPLETE
119,00:00.0,8124,PENDING_PAYMENT
120,00:00.0,356,PENDING_PAYMENT
121,00:00.0,2074,PENDING
122,00:00.0,2071,PROCESSING
123,00:00.0,3695,PENDING_PAYMENT
124,00:00.0,2374,COMPLETE
125,00:00.0,4611,PENDING_PAYMENT
126,00:00.0,610,COMPLETE
127,00:00.0,5261,PENDING_PAYMENT
128,00:00.0,2772,PENDING_PAYMENT
129,00:00.0,9937,CLOSED
130,00:00.0,7509,PENDING_PAYMENT
131,00:00.0,10072,PROCESSING
132,00:00.0,289,PENDING
133,00:00.0,10604,CLOSED
134,00:00.0,12081,PENDING_PAYMENT
135,00:00.0,7738,COMPLETE
136,00:00.0,9126,PENDING_PAYMENT
